id,activityName,activityType,startTime,distance,elevationGain,avgSpeed,avgHR,maxHR,calories,totalMins,activityLevel
264,Running,Running,2015-10-17 12:00:00,21.68,0.0,6.22,114.0,148.0,1166,135.04,Light
265,Strength Training,Strength Training,2015-10-14 20:01:00,0.0,0.0,0.0,111.0,153.0,1031,145.46,Very Light
266,Strength Training,Strength Training,2015-10-12 19:55:00,0.0,0.0,0.0,127.0,166.0,1004,99.26,Light
267,Gondhale Nagar Running,Running,2015-10-11 18:48:00,1.36,3.0,7.06,124.0,142.0,80,9.42,Light
268,Running,Running,2015-10-10 12:49:00,17.19,0.0,6.22,114.0,148.0,923,107.42,Light
269,Running,Running,2015-10-09 17:38:00,5.71,0.0,7.12,149.0,172.0,524,41.05,Moderate
270,Strength Training,Strength Training,2015-10-07 20:33:00,0.0,0.0,0.0,116.0,150.0,890,100.11,Light
271,Treadmill Running,Treadmill Running,2015-10-06 19:35:00,4.41,0.0,6.57,160.0,174.0,385,30.38,Hard
272,Strength Training,Strength Training,2015-10-05 19:24:00,0.0,0.0,0.0,120.0,156.0,854,91.21,Light
273,Gondhale Nagar Running,Running,2015-10-04 19:27:00,14.01,23.0,5.46,0.0,0.0,1107,80.49,Not Recorded
274,Sasanenagar Running,Running,2015-10-04 09:27:00,7.01,12.0,6.12,0.0,0.0,579,43.29,Not Recorded
275,Strength Training,Strength Training,2015-10-03 14:19:00,0.0,0.0,0.0,111.0,154.0,1252,172.35,Very Light
276,Treadmill Running,Treadmill Running,2015-10-01 20:59:00,4.29,0.0,7.34,135.0,162.0,360,32.24,Moderate
277,Treadmill Running,Treadmill Running,2015-09-29 19:33:00,3.77,0.0,9.36,147.0,177.0,426,36.09,Moderate
278,Strength Training,Strength Training,2015-09-28 20:24:00,0.0,0.0,0.0,122.0,159.0,1053,112.12,Light
279,Gondhale Nagar Running,Running,2015-09-27 19:11:00,12.01,11.0,7.21,135.0,154.0,765,88.19,Moderate
280,Treadmill Running,Treadmill Running,2015-09-26 13:47:00,3.76,0.0,7.43,138.0,163.0,331,28.58,Moderate
281,Treadmill Running,Treadmill Running,2015-09-24 19:48:00,5.51,0.0,8.13,127.0,165.0,466,45.18,Light
282,Treadmill Running,Treadmill Running,2015-09-23 21:31:00,3.06,0.0,8.06,136.0,155.0,263,24.48,Moderate
283,Strength Training,Strength Training,2015-09-23 19:31:00,0.0,0.0,0.0,125.0,160.0,1108,111.51,Light
284,Treadmill Running,Treadmill Running,2015-09-22 19:25:00,3.88,0.0,7.38,140.0,170.0,347,29.36,Moderate
285,Strength Training,Strength Training,2015-09-12 16:58:00,0.0,0.0,0.0,0.0,0.0,223,112.0,Not Recorded
286,Strength Training,Strength Training,2015-09-07 19:52:00,0.0,0.0,0.0,125.0,158.0,665,95.34,Light
287,Strength Training,Strength Training,2015-09-04 21:04:00,0.0,0.0,0.0,124.0,154.0,354,48.37,Light
288,Strength Training,Strength Training,2015-09-02 19:32:00,0.0,0.0,0.0,122.0,156.0,694,111.05,Light
289,Strength Training,Strength Training,2015-08-31 19:21:00,0.0,0.0,0.0,128.0,163.0,826,121.05,Light
290,Strength Training,Strength Training,2015-08-29 19:00:00,0.0,0.0,0.0,110.0,154.0,450,90.34,Very Light
291,Strength Training,Strength Training,2015-08-27 18:55:00,0.0,0.0,0.0,124.0,163.0,730,115.36,Light
292,Strength Training,Strength Training,2015-08-24 19:22:00,0.0,0.0,0.0,127.0,163.0,870,132.22,Light
293,Strength Training,Strength Training,2015-08-21 19:50:00,0.0,0.0,0.0,123.0,164.0,740,120.27,Light
294,Strength Training,Strength Training,2015-08-17 20:06:00,0.0,0.0,0.0,133.0,166.0,958,128.19,Moderate
295,Strength Training,Strength Training,2015-08-14 20:04:00,0.0,0.0,0.0,125.0,158.0,548,76.59,Light
296,Strength Training,Strength Training,2015-08-12 19:47:00,0.0,0.0,0.0,130.0,167.0,792,111.56,Light
297,Strength Training,Strength Training,2015-08-10 19:48:00,0.0,0.0,0.0,130.0,159.0,787,108.54,Light
298,Strength Training,Strength Training,2015-08-05 19:55:00,0.0,0.0,0.0,125.0,166.0,756,120.21,Light
299,Strength Training,Strength Training,2015-08-03 19:58:00,0.0,0.0,0.0,126.0,162.0,711,107.39,Light
300,Strength Training,Strength Training,2015-07-31 20:25:00,0.0,0.0,0.0,122.0,159.0,668,107.59,Light
301,Strength Training,Strength Training,2015-07-29 20:31:00,0.0,0.0,0.0,112.0,154.0,396,73.4,Very Light
302,Strength Training,Strength Training,2015-07-28 21:58:00,0.0,0.0,0.0,110.0,141.0,328,61.54,Very Light
303,Gondhale Nagar Running,Running,2015-07-26 19:07:00,10.04,17.0,5.52,156.0,169.0,722,58.57,Hard
304,Strength Training,Strength Training,2015-07-25 20:28:00,0.0,0.0,0.0,123.0,156.0,604,94.14,Light
305,Strength Training,Strength Training,2015-07-23 19:25:00,0.0,0.0,0.0,117.0,154.0,641,114.08,Light
306,Gondhale Nagar Running,Running,2015-07-22 20:58:00,5.03,9.0,5.24,162.0,179.0,358,27.08,Hard
307,Strength Training,Strength Training,2015-07-20 19:38:00,0.0,0.0,0.0,121.0,168.0,660,108.44,Light
308,Gondhale Nagar Running,Running,2015-07-19 10:41:00,10.01,28.0,5.54,168.0,177.0,846,59.03,Hard
309,Gondhale Nagar Running,Running,2015-07-15 20:23:00,5.02,11.0,5.0,166.0,183.0,356,25.06,Hard
310,Gondhale Nagar Strength Training,Strength Training,2015-07-13 19:58:00,0.0,0.0,0.0,131.0,172.0,699,90.29,Light
311,Gondhale Nagar Running,Running,2015-07-12 18:38:00,10.01,19.0,5.4,134.0,175.0,727,56.49,Moderate
312,Running,Running,2015-06-11 20:32:00,4.16,22.0,4.53,0.0,0.0,300,20.17,Not Recorded
313,Running,Running,2015-06-07 18:57:00,10.05,54.0,5.42,0.0,0.0,769,57.14,Not Recorded
314,Running,Running,2015-06-04 19:34:00,6.62,33.0,4.59,0.0,0.0,483,32.58,Not Recorded
315,Running,Running,2015-04-26 18:54:00,5.04,29.0,6.02,0.0,0.0,392,30.24,Not Recorded
316,Running,Running,2015-04-05 18:57:00,6.39,36.0,6.39,0.0,0.0,532,42.29,Not Recorded
317,Running,Running,2015-03-29 18:10:00,1.57,15.0,6.29,0.0,0.0,131,10.12,Not Recorded
318,Running,Running,2015-03-22 06:37:00,5.0,57.0,6.42,0.0,0.0,417,33.29,Not Recorded
319,Running,Running,2015-02-15 07:00:00,5.04,30.0,7.26,0.0,0.0,424,37.29,Not Recorded
320,Running,Running,2015-02-08 06:25:00,12.95,592.0,6.46,0.0,0.0,1080,87.39,Not Recorded
321,Running,Running,2015-02-07 07:16:00,5.04,27.0,5.36,0.0,0.0,406,28.13,Not Recorded
322,Running,Running,2015-02-01 18:02:00,5.33,33.0,6.05,0.0,0.0,439,32.27,Not Recorded
323,Running,Running,2015-01-26 06:51:00,2.3,56.0,6.37,0.0,0.0,191,15.11,Not Recorded
324,Running,Running,2015-01-18 06:07:00,21.59,100.0,4.59,0.0,0.0,1661,107.46,Not Recorded
325,Running,Running,2015-01-11 07:02:00,18.11,101.0,6.09,0.0,0.0,1478,111.21,Not Recorded
326,Running,Running,2014-12-30 12:11:00,5.03,44.0,5.32,0.0,0.0,400,27.52,Not Recorded
327,Running,Running,2014-12-28 12:06:00,8.4,65.0,5.5,0.0,0.0,676,48.58,Not Recorded
328,Running,Running,2014-12-21 10:47:00,15.02,100.0,6.14,0.0,0.0,1230,93.44,Not Recorded
329,Running,Running,2014-12-14 18:06:00,13.28,72.0,5.16,0.0,0.0,1040,69.59,Not Recorded
330,Running,Running,2014-12-14 06:56:00,4.64,32.0,5.34,0.0,0.0,369,25.5,Not Recorded
331,Running,Running,2014-12-07 06:14:00,21.22,165.0,6.2,0.0,0.0,1740,134.27,Not Recorded
332,Running,Running,2014-11-29 18:30:00,5.89,35.0,7.48,0.0,0.0,482,46.0,Not Recorded
333,Running,Running,2014-11-23 07:11:00,21.41,229.0,5.04,0.0,0.0,1646,108.3,Not Recorded
334,Running,Running,2014-11-18 19:00:00,3.08,25.0,5.03,0.0,0.0,236,15.32,Not Recorded
335,Running,Running,2014-11-16 11:03:00,14.02,96.0,6.15,0.0,0.0,1148,87.31,Not Recorded
336,Running,Running,2014-11-15 11:54:00,5.04,34.0,5.1,0.0,0.0,391,26.01,Not Recorded
337,Running,Running,2014-11-09 17:34:00,14.04,63.0,5.57,0.0,0.0,1137,83.35,Not Recorded
338,Running,Running,2014-11-09 06:36:00,6.53,29.0,6.12,0.0,0.0,534,40.28,Not Recorded
339,Running,Running,2014-11-08 07:34:00,8.03,80.0,5.51,0.0,0.0,647,46.59,Not Recorded
340,Running,Running,2014-10-19 06:04:00,18.52,139.0,5.49,0.0,0.0,1546,107.52,Not Recorded
341,Running,Running,2014-10-18 07:40:00,7.66,78.0,5.52,0.0,0.0,640,44.57,Not Recorded
342,Running,Running,2014-10-15 18:13:00,4.41,59.0,6.22,0.0,0.0,375,28.04,Not Recorded
343,Running,Running,2014-10-12 20:05:00,3.62,31.0,9.05,0.0,0.0,286,32.51,Not Recorded
344,Running,Running,2014-10-12 17:53:00,6.0,82.0,6.08,0.0,0.0,508,36.47,Not Recorded
345,Running,Running,2014-10-12 05:52:00,3.5,40.0,5.56,0.0,0.0,294,20.46,Not Recorded
346,Running,Running,2014-10-05 06:02:00,15.54,109.0,5.56,0.0,0.0,1303,92.1,Not Recorded
347,Running,Running,2014-10-01 18:40:00,4.17,36.0,7.47,0.0,0.0,354,32.3,Not Recorded
348,Running,Running,2014-10-01 18:21:00,0.92,6.0,7.38,0.0,0.0,75,6.59,Not Recorded
349,Running,Running,2014-09-28 17:36:00,15.03,152.0,7.31,0.0,0.0,1293,113.0,Not Recorded
350,Running,Running,2014-09-07 18:17:00,8.69,96.0,7.41,0.0,0.0,740,66.47,Not Recorded
351,Running,Running,2014-08-02 04:34:00,15.0,193.0,7.32,0.0,0.0,1290,112.54,Not Recorded
352,Running,Running,2014-05-11 05:38:00,20.91,275.0,6.39,0.0,0.0,1785,139.09,Not Recorded
353,Running,Running,2014-04-22 11:00:00,10.7,146.0,7.17,0.0,0.0,921,77.59,Not Recorded
354,Running,Running,2014-04-13 06:32:00,9.68,84.0,5.5,0.0,0.0,809,56.34,Not Recorded
355,Running,Running,2014-04-12 06:31:00,14.48,132.0,7.48,0.0,0.0,1227,112.55,Not Recorded
356,Running,Running,2014-04-05 06:28:00,21.11,308.0,8.04,0.0,0.0,1763,170.24,Not Recorded
357,Running,Running,2014-03-29 07:19:00,10.54,108.0,8.5,0.0,0.0,844,93.05,Not Recorded
358,Running,Running,2014-03-29 06:45:00,0.6,6.0,10.47,0.0,0.0,42,6.29,Not Recorded
359,Running,Running,2014-03-16 06:42:00,20.46,122.0,5.39,0.0,0.0,1695,115.31,Not Recorded
360,Running,Running,2014-03-02 07:31:00,14.16,130.0,5.35,0.0,0.0,1169,78.59,Not Recorded
361,Running,Running,2014-01-19 06:18:00,21.6,100.0,6.05,0.0,0.0,1817,131.23,Not Recorded
362,Running,Running,2013-12-15 07:51:00,21.55,230.0,6.17,0.0,0.0,1824,135.26,Not Recorded
363,Running,Running,2013-05-22 18:53:00,5.24,48.0,7.11,0.0,0.0,449,37.38,Not Recorded
364,Running,Running,2013-05-21 18:38:00,5.29,47.0,7.25,0.0,0.0,455,39.13,Not Recorded
365,Running,Running,2013-05-14 18:25:00,5.14,40.0,7.11,0.0,0.0,440,36.56,Not Recorded
366,Running,Running,2013-03-23 17:52:00,10.0,82.0,7.01,0.0,0.0,855,70.08,Not Recorded
367,Running,Running,2013-03-16 19:08:00,1.01,7.0,7.01,0.0,0.0,87,7.07,Not Recorded
368,Running,Running,2013-03-15 18:53:00,5.05,34.0,7.17,0.0,0.0,433,36.46,Not Recorded
369,Running,Running,2013-03-13 18:52:00,4.16,25.0,7.16,0.0,0.0,356,30.11,Not Recorded
370,Running,Running,2013-03-10 17:51:00,10.4,85.0,7.4,0.0,0.0,884,79.47,Not Recorded
371,Running,Running,2013-02-17 07:05:00,9.86,81.0,5.46,0.0,0.0,818,56.55,Not Recorded
372,Running,Running,2012-10-31 07:12:00,5.17,33.0,7.24,0.0,0.0,419,38.18,Not Recorded
373,Running,Running,2012-10-15 18:10:00,4.05,29.0,8.08,0.0,0.0,317,32.53,Not Recorded
374,Running,Running,2012-10-13 17:38:00,5.11,35.0,8.29,0.0,0.0,392,43.21,Not Recorded
